"site";"lat";"lon";"year";"month";"tmean";"prec"
"b1";"50,07";"10,44";"2015";"10";"8,1";"38"
"b1";"50,07";"10,44";"2015";"11";"6,9";"107"
"b1";"50,07";"10,44";"2015";"12";"5,6";"42"
"b1";"50,07";"10,44";"2016";"1";"0,6";"94"
"b1";"50,07";"10,44";"2016";"2";"3,0";"82"
"b1";"50,07";"10,44";"2016";"3";"3,7";"52"
"b1";"50,07";"10,44";"2016";"4";"7,7";"50"
"b1";"50,07";"10,44";"2016";"5";"13,4";"65"
"b1";"50,07";"10,44";"2016";"6";"16,6";"91"
"b1";"50,07";"10,44";"2016";"7";"18,6";"38"
"b1";"50,07";"10,44";"2016";"8";"17,9";"29"
"b1";"50,07";"10,44";"2016";"9";"17,0";"30"
"b1";"50,07";"10,44";"2016";"10";"8,3";"39"
"b1";"50,07";"10,44";"2016";"11";"3,5";"73"
"b1";"50,07";"10,44";"2016";"12";"0,7";"12"
"b1";"50,07";"10,44";"2017";"1";"-3,5";"28"
"b1";"50,07";"10,44";"2017";"2";"3,0";"32"
"b1";"50,07";"10,44";"2017";"3";"7,1";"47"
"b1";"50,07";"10,44";"2017";"4";"7,4";"23"
"b1";"50,07";"10,44";"2017";"5";"14,1";"62"
"b1";"50,07";"10,44";"2017";"6";"18,1";"69"
"b1";"50,07";"10,44";"2017";"7";"18,2";"141"
"b1";"50,07";"10,44";"2017";"8";"18,1";"61"
"b1";"50,07";"10,44";"2017";"9";"12,1";"73"
"b1";"50,07";"10,44";"2017";"10";"10,5";"51"
"b1";"50,07";"10,44";"2017";"11";"4,4";"92"
"b1";"50,07";"10,44";"2017";"12";"1,9";"81"
"b1";"50,07";"10,44";"2018";"1";"3,8";"78"
"b1";"50,07";"10,44";"2018";"2";"-2,6";"15"
"b1";"50,07";"10,44";"2018";"3";"2,5";"62"
"b1";"50,07";"10,44";"2018";"4";"12,7";"37"
"b1";"50,07";"10,44";"2018";"5";"16,2";"68"
"b1";"50,07";"10,44";"2018";"6";"18,1";"43"
"b1";"50,07";"10,44";"2018";"7";"20,5";"51"
"b1";"50,07";"10,44";"2018";"8";"20,3";"28"
"b1";"50,07";"10,44";"2018";"9";"14,9";"36"
"b1";"50,07";"10,44";"2018";"10";"10,7";"16"
"b1";"50,07";"10,44";"2018";"11";"5,1";"17"
"b1";"50,07";"10,44";"2018";"12";"3,2";"110"
"b1";"50,07";"10,44";"2019";"1";"0,1";"60"
"b1";"50,07";"10,44";"2019";"2";"3,0";"13"
"b1";"50,07";"10,44";"2019";"3";"6,4";"66"
"b1";"50,07";"10,44";"2019";"4";"9,9";"31"
"b1";"50,07";"10,44";"2019";"5";"10,7";"97"
"b1";"50,07";"10,44";"2019";"6";"19,7";"69"
"b1";"50,07";"10,44";"2019";"7";"19,3";"28"
"b1";"50,07";"10,44";"2019";"8";"19,0";"47"
"b1";"50,07";"10,44";"2019";"9";"14,0";"53"
"b1";"50,07";"10,44";"2019";"10";"10,4";"83"
"b1";"50,07";"10,44";"2019";"11";"4,9";"71"
"b1";"50,07";"10,44";"2019";"12";"2,9";"76"
"b1";"50,07";"10,44";"2020";"1";"2,4";"41"
"b1";"50,07";"10,44";"2020";"2";"4,7";"118"
"b1";"50,07";"10,44";"2020";"3";"5,3";"45"
"b1";"50,07";"10,44";"2020";"4";"10,6";"14"
"b1";"50,07";"10,44";"2020";"5";"12,0";"48"
"b1";"50,07";"10,44";"2020";"6";"16,6";"98"
"b1";"50,07";"10,44";"2020";"7";"18,3";"20"
"b1";"50,07";"10,44";"2020";"8";"20,2";"65"
"b1";"50,07";"10,44";"2020";"9";"15,1";"32"
"b1";"50,07";"10,44";"2020";"10";"9,8";"63"
"b1";"50,07";"10,44";"2020";"11";"5,0";"23"
"b1";"50,07";"10,44";"2020";"12";"2,2";"59"
"b1";"50,07";"10,44";"2021";"1";"0,2";"85"
"b1";"50,07";"10,44";"2021";"2";"1,1";"60"
"b1";"50,07";"10,44";"2021";"3";"4,5";"38"
"b1";"50,07";"10,44";"2021";"4";"6,0";"19"
"b1";"50,07";"10,44";"2021";"5";"10,4";"86"
"b1";"50,07";"10,44";"2021";"6";"19,1";"105"
"b1";"50,07";"10,44";"2021";"7";"17,7";"135"
"b1";"50,07";"10,44";"2021";"8";"16,2";"93"
"b1";"50,07";"10,44";"2021";"9";"15,4";"25"
"b1";"50,07";"10,44";"2021";"10";"8,6";"50"
"b1";"50,07";"10,44";"2021";"11";"3,9";"33"
"b1";"50,07";"10,44";"2021";"12";"2,4";"70"
"b1";"50,07";"10,44";"2022";"1";"2,1";"77"
"b1";"50,07";"10,44";"2022";"2";"4,1";"69"
"b1";"50,07";"10,44";"2022";"3";"5,1";"13"
"b1";"50,07";"10,44";"2022";"4";"7,6";"86"
"b1";"50,07";"10,44";"2022";"5";"15,1";"28"
"b1";"50,07";"10,44";"2022";"6";"19,1";"17"
"b1";"50,07";"10,44";"2022";"7";"19,8";"42"
"b1";"50,07";"10,44";"2022";"8";"21,1";"22"
"b1";"50,07";"10,44";"2022";"9";"13,2";"166"
"b1";"50,07";"10,44";"2022";"10";"12,1";"65"
"b1";"50,07";"10,44";"2022";"11";"6,0";"51"
"b1";"50,07";"10,44";"2022";"12";"1,6";"76"
"b1";"50,07";"10,44";"2023";"1";"3,1";"73"
"b1";"50,07";"10,44";"2023";"2";"2,5";"55"
"b1";"50,07";"10,44";"2023";"3";"5,8";"111"
"b1";"50,07";"10,44";"2023";"4";"7,5";"68"
"b1";"50,07";"10,44";"2023";"5";"13,7";"19"
"b1";"50,07";"10,44";"2023";"6";"19,1";"28"
"b1";"50,07";"10,44";"2023";"7";"19,1";"102"
"b1";"50,07";"10,44";"2023";"8";"18,4";"128"
"b1";"50,07";"10,44";"2023";"9";"17,0";"17"
"b1";"50,07";"10,44";"2023";"10";"11,6";"116"
"b1";"50,07";"10,44";"2023";"11";"5,2";"108"
"b1";"50,07";"10,44";"2023";"12";"3,5";"99"
"b2";"50,02";"10,49";"1881";"1";"-6,1";"24"
"b2";"50,02";"10,49";"1881";"2";"0,7";"41"
"b2";"50,02";"10,49";"1881";"3";"3,7";"79"
"b2";"50,02";"10,49";"1881";"4";"6,1";"32"
"b2";"50,02";"10,49";"1881";"5";"12,5";"44"
"b2";"50,02";"10,49";"1881";"6";"15,9";"52"
"b2";"50,02";"10,49";"1881";"7";"19,4";"50"
"b2";"50,02";"10,49";"1881";"8";"16,7";"97"
"b2";"50,02";"10,49";"1881";"9";"12,1";"47"
"b2";"50,02";"10,49";"1881";"10";"4,8";"61"
"b2";"50,02";"10,49";"1881";"11";"5,5";"21"
"b2";"50,02";"10,49";"1881";"12";"0,8";"39"
"b2";"50,02";"10,49";"1882";"1";"-0,3";"19"
"b2";"50,02";"10,49";"1882";"2";"1,1";"28"
